Item name,Slot,Source,SP Gain,effective_SPGain,DataFrame
Amulet of Vek'nilash,Neck,AQ40,16.73,14.5551,icyhot
Amulet of Vek'nilash,Neck,AQ40,14.36,11.0572,dmoney
Amulet of Vek'nilash,Neck,AQ40,14.63,7.753900000000001,yinnifer
Amulet of Vek'nilash,Neck,AQ40,4.14,4.0158,phuss
Amulet of Vek'nilash,Neck,AQ40,2.1,1.6800000000000002,freeze
Amulet of Vek'nilash,Neck,AQ40,1.39,0.9590999999999998,dougie
Blessed Qiraji Acolyte Staff,2H,AQ40,80.51,64.408,freeze
Blessed Qiraji Acolyte Staff,2H,AQ40,59.22,51.5214,icyhot
Boots of Epiphany,Boots,AQ40,3.14,2.7318000000000002,icyhot
Boots of Epiphany,Boots,AQ40,3.22,2.5760000000000005,freeze
Boots of Epiphany,Boots,AQ40,3.18,1.6854000000000002,yinnifer
Burrower Bracers,Bracer,AQ40,16.15,14.0505,icyhot
Burrower Bracers,Bracer,AQ40,13.91,13.4927,phuss
Burrower Bracers,Bracer,AQ40,13.81,11.048000000000002,freeze
Burrower Bracers,Bracer,AQ40,13.82,10.6414,dmoney
Burrower Bracers,Bracer,AQ40,13.8,9.522,dougie
Burrower Bracers,Bracer,AQ40,7.8,4.134,yinnifer
Cloak of the Devoured,Back,AQ40,20.05,17.4435,icyhot
Cloak of the Devoured,Back,AQ40,13.64,10.5028,dmoney
Cloak of the Devoured,Back,AQ40,7.9,7.663,phuss
Cloak of the Devoured,Back,AQ40,7.0,5.6000000000000005,freeze
Cloak of the Devoured,Back,AQ40,7.0,4.83,dougie
Cloak of the Devoured,Back,AQ40,7.0,3.71,yinnifer
Dark Storm Gauntlets,Hands,AQ40,19.67,17.1129,icyhot
Dark Storm Gauntlets,Hands,AQ40,19.33,15.463999999999999,freeze
Dark Storm Gauntlets,Hands,AQ40,18.3,14.091000000000001,dmoney
Dark Storm Gauntlets,Hands,AQ40,18.25,12.5925,dougie
Dark Storm Gauntlets,Hands,AQ40,19.53,10.350900000000001,yinnifer
Dark Storm Gauntlets,Hands,AQ40,3.62,3.5114,phuss
Enigma Boots,Boots,AQ40,9.86,8.578199999999999,icyhot
Enigma Boots,Boots,AQ40,9.85,7.88,freeze
Enigma Boots,Boots,AQ40,9.86,5.2258,yinnifer
Enigma Boots,Boots,AQ40,4.04,2.7876,dougie
Enigma Boots,Boots,AQ40,3.43,2.6411000000000002,dmoney
Enigma Boots,Boots,AQ40,2.08,2.0176,phuss
Enigma Circlet,Helm,AQ40,12.69,12.309299999999999,phuss
Enigma Circlet,Helm,AQ40,9.44,8.2128,icyhot
Enigma Circlet,Helm,AQ40,9.78,7.824,freeze
Enigma Circlet,Helm,AQ40,9.67,7.4459,dmoney
Enigma Circlet,Helm,AQ40,8.99,6.2031,dougie
Enigma Circlet,Helm,AQ40,9.57,5.072100000000001,yinnifer
Enigma Robes,Chest,AQ40,2.02,1.9594,phuss
Enigma Shoulderpads,Shoulder,AQ40,14.37,11.496,freeze
Enigma Shoulderpads,Shoulder,AQ40,6.66,5.7942,icyhot
Enigma Shoulderpads,Shoulder,AQ40,10.76,5.7028,yinnifer
Enigma Shoulderpads,Shoulder,AQ40,4.3,4.170999999999999,phuss
Eyestalk Waist Cord,Belt,AQ40,24.53,21.3411,icyhot
Eyestalk Waist Cord,Belt,AQ40,25.54,19.6658,dmoney
Eyestalk Waist Cord,Belt,AQ40,14.43,13.9971,phuss
Eyestalk Waist Cord,Belt,AQ40,14.78,11.824,freeze
Eyestalk Waist Cord,Belt,AQ40,14.81,10.2189,dougie
Eyestalk Waist Cord,Belt,AQ40,14.8,7.844000000000001,yinnifer
Garb of Royal Ascension,Chest,AQ40,0.8,0.6960000000000001,icyhot
Garb of Royal Ascension,Chest,AQ40,0.73,0.584,freeze
Garb of Royal Ascension,Chest,AQ40,0.67,0.5159,dmoney
Garb of Royal Ascension,Chest,AQ40,0.77,0.4081,yinnifer
Leggings of the Festering Swarm,Legs,AQ40,10.51,9.143699999999999,icyhot
Leggings of the Festering Swarm,Legs,AQ40,10.66,8.528,freeze
Leggings of the Festering Swarm,Legs,AQ40,7.84,7.6048,phuss
Leggings of the Festering Swarm,Legs,AQ40,7.52,5.7904,dmoney
Leggings of the Festering Swarm,Legs,AQ40,10.58,5.6074,yinnifer
Leggings of the Festering Swarm,Legs,AQ40,4.63,3.1946999999999997,dougie
Mantle of Phrenic Power,Shoulder,AQ40,17.86,14.288,freeze
Mantle of Phrenic Power,Shoulder,AQ40,10.11,8.7957,icyhot
Mantle of Phrenic Power,Shoulder,AQ40,8.19,7.944299999999999,phuss
Mantle of Phrenic Power,Shoulder,AQ40,14.23,7.541900000000001,yinnifer
Ring of Swarming Thought,Ring,AQ40,6.5,5.005,dmoney
Ring of Swarming Thought,Ring,AQ40,6.57,4.5333,dougie
Ring of Swarming Thought,Ring,AQ40,1.47,1.2789,icyhot
Ring of Swarming Thought,Ring,AQ40,1.43,1.144,freeze
Ring of Swarming Thought,Ring,AQ40,0.98,0.9506,phuss
Ring of the Fallen God,Ring,AQ40,30.93,23.8161,dmoney
Ring of the Fallen God,Ring,AQ40,25.86,22.4982,icyhot
Ring of the Fallen God,Ring,AQ40,31.02,21.403799999999997,dougie
Ring of the Fallen God,Ring,AQ40,21.58,20.932599999999997,phuss
Ring of the Fallen God,Ring,AQ40,25.78,20.624000000000002,freeze
Ring of the Fallen God,Ring,AQ40,23.09,12.2377,yinnifer
Ritssyn's Ring of Chaos,Ring,AQ40,14.75,11.3575,dmoney
Ritssyn's Ring of Chaos,Ring,AQ40,11.57,11.2229,phuss
Ritssyn's Ring of Chaos,Ring,AQ40,14.3,9.866999999999999,dougie
Ritssyn's Ring of Chaos,Ring,AQ40,9.65,8.3955,icyhot
Ritssyn's Ring of Chaos,Ring,AQ40,9.87,7.896,freeze
Ritssyn's Ring of Chaos,Ring,AQ40,7.0,3.71,yinnifer
Royal Scepter of Vek'lor,OH,AQ40,27.05,18.6645,dougie
Royal Scepter of Vek'lor,OH,AQ40,10.22,7.869400000000001,dmoney
