Item name,Slot,Source,SP Gain,effective_SPGain,DataFrame
Amulet of Vek'nilash,Neck,AQ40,10.07,5.3371,yinnifer
Amulet of Vek'nilash,Neck,AQ40,4.47,4.0677,phuss
Amulet of Vek'nilash,Neck,AQ40,2.43,1.701,dmoney
Amulet of Vek'nilash,Neck,AQ40,2.26,1.6723999999999999,freeze
Amulet of Vek'nilash,Neck,AQ40,1.58,1.1218,dougie
Blessed Qiraji Acolyte Staff,2H,AQ40,6.54,4.8396,freeze
Boots of Epiphany,Boots,AQ40,3.27,2.4198,freeze
Boots of Epiphany,Boots,AQ40,3.18,1.6854000000000002,yinnifer
Burrower Bracers,Bracer,AQ40,13.82,10.2268,freeze
Burrower Bracers,Bracer,AQ40,13.81,9.8051,dougie
Burrower Bracers,Bracer,AQ40,13.84,9.687999999999999,dmoney
Burrower Bracers,Bracer,AQ40,7.23,6.579300000000001,phuss
Burrower Bracers,Bracer,AQ40,7.8,4.134,yinnifer
Cloak of the Devoured,Back,AQ40,12.72,11.5752,phuss
Cloak of the Devoured,Back,AQ40,13.43,9.401,dmoney
Cloak of the Devoured,Back,AQ40,7.0,5.18,freeze
Cloak of the Devoured,Back,AQ40,7.0,4.97,dougie
Cloak of the Devoured,Back,AQ40,7.0,3.71,yinnifer
Dark Storm Gauntlets,Hands,AQ40,19.11,14.141399999999999,freeze
Dark Storm Gauntlets,Hands,AQ40,15.24,13.868400000000001,phuss
Dark Storm Gauntlets,Hands,AQ40,18.27,12.971699999999998,dougie
Dark Storm Gauntlets,Hands,AQ40,18.35,12.845,dmoney
Dark Storm Gauntlets,Hands,AQ40,19.53,10.350900000000001,yinnifer
Enigma Boots,Boots,AQ40,9.85,7.289,freeze
Enigma Boots,Boots,AQ40,9.86,5.2258,yinnifer
Enigma Boots,Boots,AQ40,3.9,2.7689999999999997,dougie
Enigma Boots,Boots,AQ40,3.48,2.436,dmoney
Enigma Boots,Boots,AQ40,1.84,1.6744,phuss
Enigma Circlet,Helm,AQ40,10.0,7.4,freeze
Enigma Circlet,Helm,AQ40,10.39,7.273,dmoney
Enigma Circlet,Helm,AQ40,9.25,6.5675,dougie
Enigma Circlet,Helm,AQ40,9.56,5.066800000000001,yinnifer
Enigma Shoulderpads,Shoulder,AQ40,10.76,5.7028,yinnifer
Enigma Shoulderpads,Shoulder,AQ40,3.97,3.6127000000000002,phuss
Eyestalk Waist Cord,Belt,AQ40,14.38,13.0858,phuss
Eyestalk Waist Cord,Belt,AQ40,14.76,10.9224,freeze
Eyestalk Waist Cord,Belt,AQ40,14.79,10.5009,dougie
Eyestalk Waist Cord,Belt,AQ40,14.67,10.269,dmoney
Eyestalk Waist Cord,Belt,AQ40,14.8,7.844000000000001,yinnifer
Garb of Royal Ascension,Chest,AQ40,0.69,0.5105999999999999,freeze
Garb of Royal Ascension,Chest,AQ40,0.77,0.4081,yinnifer
Garb of Royal Ascension,Chest,AQ40,0.52,0.364,dmoney
Leggings of the Festering Swarm,Legs,AQ40,10.76,7.9624,freeze
Leggings of the Festering Swarm,Legs,AQ40,10.58,5.6074,yinnifer
Leggings of the Festering Swarm,Legs,AQ40,7.04,4.928,dmoney
Leggings of the Festering Swarm,Legs,AQ40,4.34,3.9494,phuss
Leggings of the Festering Swarm,Legs,AQ40,4.59,3.2588999999999997,dougie
Mantle of Phrenic Power,Shoulder,AQ40,14.23,7.541900000000001,yinnifer
Mantle of Phrenic Power,Shoulder,AQ40,7.91,7.1981,phuss
Ring of the Fallen God,Ring,AQ40,20.1,18.291,phuss
Ring of the Fallen God,Ring,AQ40,22.71,16.8054,freeze
Ring of the Fallen God,Ring,AQ40,23.52,16.699199999999998,dougie
Ring of the Fallen God,Ring,AQ40,22.52,15.764,dmoney
Ring of the Fallen God,Ring,AQ40,23.09,12.2377,yinnifer
Ritssyn's Ring of Chaos,Ring,AQ40,7.0,6.37,phuss
Ritssyn's Ring of Chaos,Ring,AQ40,7.0,5.18,freeze
Ritssyn's Ring of Chaos,Ring,AQ40,7.0,4.97,dougie
Ritssyn's Ring of Chaos,Ring,AQ40,7.0,4.8999999999999995,dmoney
Ritssyn's Ring of Chaos,Ring,AQ40,7.0,3.71,yinnifer
Royal Scepter of Vek'lor,OH,AQ40,5.66,5.150600000000001,phuss
Royal Scepter of Vek'lor,OH,AQ40,3.72,2.604,dmoney
Royal Scepter of Vek'lor,OH,AQ40,3.15,1.6695,yinnifer
Sharpened Silithid Femur,MH,AQ40,55.39,39.3269,dougie
Sharpened Silithid Femur,MH,AQ40,30.84,28.0644,phuss
Sharpened Silithid Femur,MH,AQ40,31.05,21.735,dmoney
Sharpened Silithid Femur,MH,AQ40,31.14,16.5042,yinnifer
Wand of Qiraji Nobility,Wand,AQ40,6.0,4.199999999999999,dmoney
Wand of Qiraji Nobility,Wand,AQ40,1.0,0.91,phuss
Wand of Qiraji Nobility,Wand,AQ40,1.0,0.74,freeze
Wand of Qiraji Nobility,Wand,AQ40,1.0,0.71,dougie
Wand of Qiraji Nobility,Wand,AQ40,1.0,0.53,yinnifer
