Item name,Slot,Source,SP Gain,effective_SPGain,DataFrame
Angelista's Grasp,Belt,Blackwing Lair,1.83,1.5006,icyhot
Band of Forced Concentration,Ring,Blackwing Lair,10.77,8.9391,dmoney
Band of Forced Concentration,Ring,Blackwing Lair,10.83,8.664,freeze
Band of Forced Concentration,Ring,Blackwing Lair,10.34,7.134599999999999,dougie
Bracers of Arcane Accuracy,Bracer,Blackwing Lair,21.39,17.5398,icyhot
Bracers of Arcane Accuracy,Bracer,Blackwing Lair,18.84,15.6372,dmoney
Bracers of Arcane Accuracy,Bracer,Blackwing Lair,18.94,15.152000000000001,freeze
Bracers of Arcane Accuracy,Bracer,Blackwing Lair,12.97,6.8741,yinnifer
Bracers of Arcane Accuracy,Bracer,Blackwing Lair,6.69,6.4893,phuss
Bracers of Arcane Accuracy,Bracer,Blackwing Lair,6.63,4.5747,dougie
Claw of Chromaggus,MH,Blackwing Lair,40.86,28.193399999999997,dougie
Claw of Chromaggus,MH,Blackwing Lair,13.83,13.415099999999999,phuss
Claw of Chromaggus,MH,Blackwing Lair,15.73,13.0559,dmoney
Claw of Chromaggus,MH,Blackwing Lair,16.25,8.6125,yinnifer
Cloak of the Brood Lord,Back,Blackwing Lair,6.35,5.206999999999999,icyhot
Dragon's Touch,Wand,Blackwing Lair,8.03,6.584599999999999,icyhot
Essence Gatherer,Wand,Blackwing Lair,2.02,1.6563999999999999,icyhot
Firemaw's Clutch,Belt,Blackwing Lair,10.7,8.774,icyhot
Firemaw's Clutch,Belt,Blackwing Lair,1.26,0.8694,dougie
Firemaw's Clutch,Belt,Blackwing Lair,0.69,0.5519999999999999,freeze
Firemaw's Clutch,Belt,Blackwing Lair,0.88,0.46640000000000004,yinnifer
Firemaw's Clutch,Belt,Blackwing Lair,0.16,0.1328,dmoney
Mantle of the Blackwing Cabal,Shoulder,Blackwing Lair,18.16,14.528,freeze
Mantle of the Blackwing Cabal,Shoulder,Blackwing Lair,10.45,8.568999999999999,icyhot
Mantle of the Blackwing Cabal,Shoulder,Blackwing Lair,14.54,7.7062,yinnifer
Mantle of the Blackwing Cabal,Shoulder,Blackwing Lair,7.93,7.6921,phuss
Mind Quickening Gem,Trinket,Blackwing Lair,46.63,45.2311,phuss
Mind Quickening Gem,Trinket,Blackwing Lair,37.77,31.3491,dmoney
Mind Quickening Gem,Trinket,Blackwing Lair,30.5,25.009999999999998,icyhot
Mind Quickening Gem,Trinket,Blackwing Lair,35.46,24.467399999999998,dougie
Mind Quickening Gem,Trinket,Blackwing Lair,30.57,24.456000000000003,freeze
Mind Quickening Gem,Trinket,Blackwing Lair,35.82,18.9846,yinnifer
"Mish'undare, Circlet of the Mind Flayer",Helm,Blackwing Lair,17.78,17.2466,phuss
"Mish'undare, Circlet of the Mind Flayer",Helm,Blackwing Lair,10.04,8.3332,dmoney
"Mish'undare, Circlet of the Mind Flayer",Helm,Blackwing Lair,8.74,6.992000000000001,freeze
"Mish'undare, Circlet of the Mind Flayer",Helm,Blackwing Lair,7.98,6.5436,icyhot
"Mish'undare, Circlet of the Mind Flayer",Helm,Blackwing Lair,7.49,5.1681,dougie
"Mish'undare, Circlet of the Mind Flayer",Helm,Blackwing Lair,8.31,4.4043,yinnifer
Neltharion's Tear,Trinket,Blackwing Lair,43.83,35.940599999999996,icyhot
Neltharion's Tear,Trinket,Blackwing Lair,42.89,35.5987,dmoney
Neltharion's Tear,Trinket,Blackwing Lair,39.61,31.688000000000002,freeze
Neltharion's Tear,Trinket,Blackwing Lair,43.17,22.880100000000002,yinnifer
Neltharion's Tear,Trinket,Blackwing Lair,18.5,12.764999999999999,dougie
Netherwind Bindings,Bracer,Blackwing Lair,8.63,7.0766,icyhot
Netherwind Bindings,Bracer,Blackwing Lair,6.54,6.3438,phuss
Netherwind Bindings,Bracer,Blackwing Lair,6.38,5.2954,dmoney
Netherwind Bindings,Bracer,Blackwing Lair,6.31,5.048,freeze
Netherwind Bindings,Bracer,Blackwing Lair,6.3,4.3469999999999995,dougie
Netherwind Bindings,Bracer,Blackwing Lair,0.29,0.1537,yinnifer
Netherwind Mantle,Shoulder,Blackwing Lair,6.02,4.816,freeze
Netherwind Mantle,Shoulder,Blackwing Lair,2.42,1.2826,yinnifer
Shadow Wing Focus Staff,2H,Blackwing Lair,28.7,22.96,freeze
Shadow Wing Focus Staff,2H,Blackwing Lair,7.53,6.1746,icyhot
Staff of the Shadow Flame,2H,Blackwing Lair,73.72,58.976,freeze
Staff of the Shadow Flame,2H,Blackwing Lair,52.04,42.672799999999995,icyhot
