Item name,Slot,Source,SP Gain,effective_SPGain,DataFrame
Talisman of Ephemeral Power,Trinket,Molten Core,18.25,17.7025,phuss
Staff of Dominance,2H,Molten Core,21.44,17.152,freeze
Azuresong Mageblade,MH,Molten Core,24.04,16.5876,dougie
Talisman of Ephemeral Power,Trinket,Molten Core,18.75,16.3125,icyhot
Talisman of Ephemeral Power,Trinket,Molten Core,18.25,14.0525,dmoney
Choker of the Fire Lord,Neck,Molten Core,14.89,12.9543,icyhot
Talisman of Ephemeral Power,Trinket,Molten Core,18.25,12.5925,dougie
Ring of Spell Power,Ring,Molten Core,13.55,10.4335,dmoney
Talisman of Ephemeral Power,Trinket,Molten Core,18.25,9.672500000000001,yinnifer
Choker of the Fire Lord,Neck,Molten Core,12.36,9.517199999999999,dmoney
Ring of Spell Power,Ring,Molten Core,13.57,9.363299999999999,dougie
Mana Igniting Cord,Belt,Molten Core,9.71,8.447700000000001,icyhot
Mana Igniting Cord,Belt,Molten Core,10.32,7.946400000000001,dmoney
Ring of Spell Power,Ring,Molten Core,7.98,7.740600000000001,phuss
Ring of Spell Power,Ring,Molten Core,8.47,7.368900000000001,icyhot
Choker of the Fire Lord,Neck,Molten Core,12.7,6.731,yinnifer
Ring of Spell Power,Ring,Molten Core,5.73,3.0369000000000006,yinnifer
Gloves of the Hypnotic Flame,Hands,Molten Core,3.46,3.0101999999999998,icyhot
Gloves of the Hypnotic Flame,Hands,Molten Core,3.2,2.5600000000000005,freeze
Gloves of the Hypnotic Flame,Hands,Molten Core,3.36,1.7808,yinnifer
Gloves of the Hypnotic Flame,Hands,Molten Core,1.97,1.5169,dmoney
Gloves of the Hypnotic Flame,Hands,Molten Core,1.97,1.3593,dougie
Arcanist Bindings,Bracer,Molten Core,1.35,1.1745,icyhot
