Item name,Slot,Source,SP Gain,effective_SPGain,DataFrame
Azuresong Mageblade,MH,Molten Core,24.26,17.2246,dougie
Choker of the Fire Lord,Neck,Molten Core,8.14,4.3142000000000005,yinnifer
Gloves of the Hypnotic Flame,Hands,Molten Core,3.04,2.2496,freeze
Gloves of the Hypnotic Flame,Hands,Molten Core,3.37,1.7861000000000002,yinnifer
Gloves of the Hypnotic Flame,Hands,Molten Core,2.4,1.68,dmoney
Gloves of the Hypnotic Flame,Hands,Molten Core,2.04,1.4484,dougie
Ring of Spell Power,Ring,Molten Core,6.07,4.3097,dougie
Ring of Spell Power,Ring,Molten Core,5.73,3.0369000000000006,yinnifer
Ring of Spell Power,Ring,Molten Core,3.07,2.7937,phuss
Talisman of Ephemeral Power,Trinket,Molten Core,18.25,16.6075,phuss
Talisman of Ephemeral Power,Trinket,Molten Core,18.25,12.9575,dougie
Talisman of Ephemeral Power,Trinket,Molten Core,18.25,12.774999999999999,dmoney
Talisman of Ephemeral Power,Trinket,Molten Core,18.25,9.672500000000001,yinnifer
