Item name,Slot,Source,SP Gain,effective_SPGain,DataFrame
Band of Forced Concentration,Ring,Blackwing Lair,7.78,5.7572,freeze
Band of Forced Concentration,Ring,Blackwing Lair,7.66,5.362,dmoney
Bracers of Arcane Accuracy,Bracer,Blackwing Lair,18.9,13.985999999999999,freeze
Bracers of Arcane Accuracy,Bracer,Blackwing Lair,18.84,13.187999999999999,dmoney
Bracers of Arcane Accuracy,Bracer,Blackwing Lair,11.64,10.592400000000001,phuss
Bracers of Arcane Accuracy,Bracer,Blackwing Lair,12.97,6.8741,yinnifer
Bracers of Arcane Accuracy,Bracer,Blackwing Lair,6.63,4.7073,dougie
Claw of Chromaggus,MH,Blackwing Lair,40.87,29.017699999999998,dougie
Claw of Chromaggus,MH,Blackwing Lair,13.89,12.6399,phuss
Claw of Chromaggus,MH,Blackwing Lair,15.8,11.06,dmoney
Claw of Chromaggus,MH,Blackwing Lair,16.25,8.6125,yinnifer
Firemaw's Clutch,Belt,Blackwing Lair,1.21,0.8591,dougie
Firemaw's Clutch,Belt,Blackwing Lair,0.88,0.46640000000000004,yinnifer
Firemaw's Clutch,Belt,Blackwing Lair,0.5,0.37,freeze
Firemaw's Clutch,Belt,Blackwing Lair,0.26,0.182,dmoney
Mantle of the Blackwing Cabal,Shoulder,Blackwing Lair,14.54,7.7062,yinnifer
Mantle of the Blackwing Cabal,Shoulder,Blackwing Lair,7.99,7.2709,phuss
Mind Quickening Gem,Trinket,Blackwing Lair,45.64,41.5324,phuss
Mind Quickening Gem,Trinket,Blackwing Lair,37.3,26.109999999999996,dmoney
Mind Quickening Gem,Trinket,Blackwing Lair,35.95,25.5245,dougie
Mind Quickening Gem,Trinket,Blackwing Lair,33.8,25.011999999999997,freeze
Mind Quickening Gem,Trinket,Blackwing Lair,35.82,18.9846,yinnifer
"Mish'undare, Circlet of the Mind Flayer",Helm,Blackwing Lair,9.84,6.888,dmoney
"Mish'undare, Circlet of the Mind Flayer",Helm,Blackwing Lair,9.18,6.7932,freeze
"Mish'undare, Circlet of the Mind Flayer",Helm,Blackwing Lair,7.59,5.3889,dougie
"Mish'undare, Circlet of the Mind Flayer",Helm,Blackwing Lair,8.31,4.4043,yinnifer
Neltharion's Tear,Trinket,Blackwing Lair,42.88,30.016,dmoney
Neltharion's Tear,Trinket,Blackwing Lair,39.52,29.2448,freeze
Neltharion's Tear,Trinket,Blackwing Lair,43.17,22.880100000000002,yinnifer
Neltharion's Tear,Trinket,Blackwing Lair,18.5,13.135,dougie
Netherwind Bindings,Bracer,Blackwing Lair,6.32,4.6768,freeze
Netherwind Bindings,Bracer,Blackwing Lair,6.3,4.473,dougie
Netherwind Bindings,Bracer,Blackwing Lair,6.37,4.459,dmoney
Netherwind Bindings,Bracer,Blackwing Lair,0.29,0.1537,yinnifer
Netherwind Mantle,Shoulder,Blackwing Lair,2.42,1.2826,yinnifer
