Item name,Slot,Source,SP Gain,effective_SPGain,DataFrame
Mind Quickening Gem,Trinket,Blackwing Lair,57.18,46.8876,phuss
Mind Quickening Gem,Trinket,Blackwing Lair,58.52,36.8676,dmoney
Staff of the Shadow Flame,2H,Blackwing Lair,53.13,36.6597,icyhot
Mind Quickening Gem,Trinket,Blackwing Lair,59.74,33.45440000000001,dougie
Mind Quickening Gem,Trinket,Blackwing Lair,48.44,33.42359999999999,icyhot
Grand Marshal's Mageblade,MH,PvP,57.63,32.272800000000004,dougie
Neltharion's Tear,Trinket,Blackwing Lair,38.16,26.330399999999997,icyhot
Grand Marshal's Mageblade,MH,PvP,31.11,25.510199999999998,phuss
Claw of Chromaggus,MH,Blackwing Lair,41.23,23.0888,dougie
Runesword of the Red,MH,Quest,39.27,21.991200000000003,dougie
Staff of the Ruins,2H,AQ20,31.05,21.4245,icyhot
Mind Quickening Gem,Trinket,Blackwing Lair,60.71,20.6414,yinnifer
Grand Marshal's Mageblade,MH,PvP,31.17,19.6371,dmoney
Fang of the Mystics,MH,World,26.72,14.9632,dougie
Azuresong Mageblade,MH,Molten Core,26.48,14.828800000000001,dougie
Robe of the Archmage,Chest,Crafted,23.78,13.316800000000002,dougie
Grand Marshal's Stave,2H,PvP,18.05,12.4545,icyhot
Rune of the Dawn,Trinket,Quest,19.0,11.97,dmoney
Claw of Chromaggus,MH,Blackwing Lair,14.28,11.709599999999998,phuss
Rune of the Dawn,Trinket,Quest,14.0,11.479999999999999,phuss
Netherwind Robes,Chest,Blackwing Lair,19.24,10.7744,dougie
"Mish'undare, Circlet of the Mind Flayer",Helm,Blackwing Lair,12.99,10.6518,phuss
Robe of Volatile Power,Chest,Molten Core,19.01,10.645600000000002,dougie
Grand Marshal's Mageblade,MH,PvP,31.19,10.604600000000001,yinnifer
Jade Inlaid Vestments,Chest,World,18.55,10.388000000000002,dougie
Choker of the Fire Lord,Neck,Molten Core,14.82,10.2258,icyhot
Field Marshal's Silk Vestments,Chest,PvP,18.2,10.192,dougie
Rune of the Dawn,Trinket,Quest,14.67,10.1223,icyhot
Runesword of the Red,MH,Quest,12.25,10.045,phuss
Cloak of Consumption,Back,Zul'Gurub,14.52,10.018799999999999,icyhot
"Mish'undare, Circlet of the Mind Flayer",Helm,Blackwing Lair,14.27,9.8463,icyhot
Neltharion's Tear,Trinket,Blackwing Lair,15.0,9.45,dmoney
Claw of Chromaggus,MH,Blackwing Lair,14.99,9.4437,dmoney
Vestments of the Shifting Sands,Chest,AQ20,16.68,9.340800000000002,dougie
Blade of Vaulted Secrets,MH,AQ20,16.35,9.156000000000002,dougie
Atal'ai Gloves,Hands,Sunken Temple,16.27,9.1112,dougie
Mindtear Band,Ring,World Boss,14.27,8.9901,dmoney
Neltharion's Tear,Trinket,Blackwing Lair,15.0,8.4,dougie
Ring of Spell Power,Ring,Molten Core,13.3,8.379000000000001,dmoney
